flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,label
4095,4095,3138,3470,3952,7.85,4.98,2.56,0.98,-0.12,hola
4095,4095,3133,3517,3979,7.27,5.99,1.51,1.10,-0.17,hola
4095,4095,3120,3533,3983,6.72,6.80,1.05,0.84,-0.27,hola
4095,4095,3054,3583,3986,6.31,7.16,-0.28,0.65,-0.18,hola
4095,4095,3027,3600,3981,5.34,8.47,-0.61,0.90,-0.15,hola
4095,4095,3001,3583,3989,4.66,9.45,-1.29,0.71,-0.26,hola
4095,4095,2995,3578,3986,4.39,9.99,-2.25,0.24,-0.20,hola
4095,4095,3009,3574,3987,4.03,9.29,-2.80,0.32,-0.20,hola
4095,4095,2845,3571,3971,3.69,9.40,-3.15,0.15,-0.07,hola
4095,4095,2810,3569,3989,3.46,9.55,-3.17,0.01,-0.01,hola

4095,4095,2969,3774,3079,1.57,-0.51,0.96,0.24,-0.16,hola
4095,4095,2981,3821,3031,8.53,-2.16,5.85,0.20,-0.13,hola
4095,4095,2978,3826,3095,8.41,-2.07,4.80,0.59,-0.28,hola
4095,4095,2953,3845,3078,8.17,-0.98,4.95,0.82,-0.27,hola
4095,4095,2912,3824,3054,8.83,1.57,4.43,0.93,-0.28,hola
4095,4095,2902,3830,3019,8.92,2.12,3.70,0.77,-0.14,hola
4095,4095,2899,3867,3035,8.49,2.16,3.71,0.69,-0.29,hola
4095,4095,2894,3855,3050,8.20,3.24,3.51,0.93,-0.29,hola
4095,4095,2902,3877,3089,7.59,5.30,2.64,1.11,-0.28,hola
4095,4095,2896,3906,3136,7.62,6.41,1.17,0.95,-0.48,hola
4095,4095,2895,3911,3152,6.91,6.24,-0.06,0.78,-0.43,hola
4095,4095,2891,3914,3165,6.18,8.57,-0.40,0.79,-0.39,hola
4095,4095,2887,3925,3198,5.44,9.80,-1.59,0.75,-0.37,hola
4095,4095,2863,3907,3184,4.75,9.23,-1.49,0.37,-0.21,hola
4095,4095,2858,3920,3183,4.80,8.42,-1.81,0.18,-0.09,hola

4095,4095,3281,3557,3485,1.52,-0.17,0.87,0.64,-0.29,hola
4095,4095,3264,3560,3408,8.72,0.50,4.75,0.89,-0.18,hola
4095,4095,3246,3583,3416,8.31,1.21,4.48,0.96,-0.24,hola
4095,4095,3222,3600,3421,8.33,2.49,4.67,0.96,-0.37,hola
4095,4095,3163,3600,3399,8.43,2.97,3.82,1.19,-0.54,hola
4095,4095,3109,3673,3516,7.82,4.52,1.63,1.31,-0.56,hola
4095,4095,3081,3679,3513,7.37,5.86,0.66,0.89,-0.53,hola
4095,4095,2835,3696,3552,7.00,6.47,-0.81,0.75,-0.60,hola
4095,4095,2823,3727,3575,6.14,7.81,-1.74,1.10,-0.59,hola
4095,4095,2801,3741,3614,6.25,9.47,-2.27,0.45,-0.55,hola
4095,4095,2800,3740,3600,5.80,9.28,-2.89,0.09,-0.29,hola
4095,4095,2822,3749,3615,4.96,8.78,-3.30,-0.07,-0.18,hola
4095,4095,2818,3760,3611,4.82,8.66,-3.72,0.01,-0.12,hola
4095,4095,2811,3757,3599,4.53,8.34,-3.65,-0.05,0.02,hola
4095,4095,2817,3755,3627,4.33,8.61,-4.16,-0.04,0.01,hola

4095,4095,3363,3694,3375,1.45,-0.62,1.03,0.80,-0.25,hola
