flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,label
4095,4095,2989,4095,4095,9.17,3.52,-0.64,-0.30,-0.54,bien
4095,4095,2992,4095,4095,9.16,3.72,-1.52,-0.14,-0.65,bien
4095,4095,3003,4095,4095,9.10,4.43,-2.78,0.12,-0.70,bien
4095,4095,2975,4095,4095,8.33,5.08,-3.90,0.42,-0.79,bien
4095,4095,2967,4095,4095,8.30,4.91,-4.57,0.17,-0.69,bien
4095,4095,2962,4095,4095,7.85,4.99,-4.99,0.07,-0.74,bien
4095,4095,2960,4095,4095,7.40,5.02,-5.70,-0.17,-0.73,bien
4095,4095,2963,4095,4095,6.80,4.95,-6.07,0.06,-0.59,bien
4095,4095,2960,4095,4095,6.39,4.99,-6.17,0.03,-0.44,bien
4095,4095,2961,4095,4095,6.04,5.19,-6.47,0.03,-0.25,bien
4095,4095,2969,4095,4095,5.95,5.11,-6.39,0.01,-0.09,bien
4095,4095,2986,4095,4095,5.84,5.04,-6.18,0.05,-0.09,bien

4095,4095,2922,4095,4095,1.65,0.60,0.13,-0.08,-0.25,bien
4095,4095,2924,4095,4095,9.45,3.57,-0.33,-0.27,-0.31,bien
4095,4095,2929,4095,4095,9.53,3.88,-0.69,0.02,-0.33,bien
4095,4095,2933,4095,4095,9.24,3.73,-0.63,0.02,-0.34,bien
4095,4095,2929,4095,4095,8.93,3.57,-0.97,-0.18,-0.37,bien
4095,4095,2939,4095,4095,9.05,4.35,-1.72,0.01,-0.49,bien
4095,4095,2931,4095,4095,8.65,4.45,-1.98,0.12,-0.58,bien
4095,4095,2934,4095,4095,8.45,4.60,-2.49,0.11,-0.61,bien
4095,4095,2929,4095,4095,8.02,4.36,-2.54,0.10,-0.71,bien
4095,4095,2932,4095,4095,7.48,5.15,-3.65,0.32,-0.77,bien
4095,4095,2925,4095,4095,6.98,5.61,-4.23,0.43,-0.81,bien
4095,4095,2913,4095,4095,6.50,5.34,-5.09,0.32,-0.70,bien
4095,4095,2911,4095,4095,6.11,6.06,-6.07,-0.03,-0.54,bien
4095,4095,2913,4095,4095,5.84,6.34,-6.31,0.05,-0.35,bien
4095,4095,2911,4095,4095,5.39,6.43,-6.42,0.14,-0.31,bien

4095,4095,3023,4095,4095,1.70,0.63,0.17,0.02,-0.15,bien
4095,4095,3024,4095,4095,9.21,3.58,0.69,0.05,-0.44,bien
4095,4095,3013,4095,4095,9.27,2.63,0.84,-0.22,-0.56,bien
4095,4095,3007,4095,4095,9.22,3.87,-0.78,-0.40,-0.55,bien
4095,4095,3006,4095,4095,9.26,4.49,-1.61,0.07,-0.64,bien
4095,4095,2992,4095,4095,9.01,4.35,-1.91,0.06,-0.49,bien
4095,4095,2993,4095,4095,8.65,4.49,-2.47,0.30,-0.47,bien
4095,4095,2993,4095,4095,8.23,4.59,-2.74,0.22,-0.48,bien
4095,4095,2993,4095,4095,7.86,4.85,-3.17,0.18,-0.46,bien
4095,4095,2992,4095,4095,7.91,5.84,-4.13,-0.08,-0.36,bien
4095,4095,2971,4095,4095,7.54,5.78,-4.06,0.28,-0.49,bien
4095,4095,3034,4095,4095,7.27,5.77,-4.38,0.19,-0.41,bien
4095,4095,2981,4095,4095,7.01,5.25,-4.32,0.12,-0.34,bien
4095,4095,2990,4095,4095,6.58,5.64,-4.86,-0.02,-0.33,bien
