flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,label
4095,4095,3971,4095,4095,6.14,3.05,-8.53,0.41,-0.88,comer

4095,4095,4095,4095,4095,0.92,0.43,-1.51,-0.03,-0.04,comer
4095,4095,4095,4095,4095,5.47,2.84,-10.02,0.03,0.11,comer
4095,4095,4095,4095,4095,6.42,3.75,-11.20,-0.42,1.29,comer
4095,4095,4095,3449,4095,6.59,6.30,-13.53,-1.31,3.10,comer
4095,4095,4095,3355,4095,5.54,-0.29,-0.69,-1.10,4.37,comer
4095,4095,4095,3597,4095,6.55,-2.05,6.43,0.80,1.18,comer
4095,4095,4055,3554,4095,10.60,2.97,-3.66,-0.17,-2.71,comer
4095,4095,4091,3507,4095,9.76,1.64,-3.85,0.74,3.52,comer
4095,4095,4095,3478,4095,8.05,-3.04,7.36,-0.25,-1.03,comer
4095,4095,4063,3500,4095,12.23,5.24,-4.81,-0.57,-0.25,comer
4095,4095,4095,3426,4095,8.17,-1.60,3.37,1.01,2.25,comer
4095,4095,4095,3366,4095,4.08,-1.01,6.43,-0.69,-2.56,comer
4095,3963,4095,3655,4095,5.09,1.12,-3.98,1.56,-4.37,comer
4095,4095,4095,4095,4095,4.73,2.83,-12.63,0.08,-2.53,comer
4095,4095,4095,4095,4095,6.50,2.17,-10.40,0.05,-0.50,comer

4095,4095,4095,3229,4095,1.27,0.22,0.01,-1.03,4.34,comer
4095,4095,4095,3335,4095,6.28,-3.32,6.82,0.50,1.44,comer
4095,4095,4095,3402,4095,9.64,2.75,-3.88,-0.86,-2.63,comer
4095,4095,4095,3423,4095,11.65,1.24,-1.01,0.71,2.88,comer
4095,4095,4095,3422,4095,7.86,-2.52,7.50,0.14,-0.33,comer
4095,4095,4095,3449,4095,11.98,4.79,-4.76,-1.06,-2.48,comer
4095,4095,4095,3381,4095,9.29,1.01,0.61,0.80,3.53,comer
4095,4095,4095,3379,4095,5.13,-0.33,7.28,0.16,-0.93,comer
4095,4013,4095,3382,4095,6.06,-0.99,1.83,-0.14,-4.37,comer
4095,3903,4095,3837,4095,6.12,2.70,-7.56,2.14,-4.37,comer
4095,4095,4095,4095,4095,4.18,0.73,-10.96,0.57,-1.95,comer
4095,4095,4095,4095,4095,5.93,3.62,-10.60,0.09,-0.16,comer
4095,4095,4095,4095,4095,4.69,3.00,-8.72,0.04,-0.03,comer
4095,4095,4095,4095,4095,4.41,2.36,-8.70,-0.08,-0.04,comer
