flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,label
4095,3331,3259,3472,3088,8.04,1.48,1.10,1.10,-0.18,escuela
4095,3317,3282,3461,3056,8.31,2.61,0.28,1.08,-0.41,escuela
4095,3321,3280,3432,3035,8.51,4.71,0.29,0.98,-0.52,escuela
4095,3357,3266,3471,3043,9.63,5.40,0.34,0.45,-0.46,escuela
4095,3344,3269,3487,3030,10.03,6.37,-0.59,-0.13,-0.40,escuela
4095,3312,3267,3415,2976,10.42,4.75,-1.30,-0.29,-0.19,escuela
4095,3291,3294,3414,2919,11.17,5.62,-0.42,-1.02,0.22,escuela
4095,3298,3287,3419,2911,11.02,3.54,-0.00,-1.11,0.40,escuela
4082,3294,3282,3443,2963,10.98,2.93,1.33,-1.53,0.77,escuela
4082,3305,3283,3467,3007,10.32,2.05,0.31,-1.26,0.96,escuela
4095,3345,3293,3435,3020,9.29,-0.50,2.87,-0.57,1.11,escuela
4095,3381,3304,3427,2996,7.86,-1.67,5.20,-0.54,0.61,escuela
4095,3410,3286,3422,3011,8.16,-1.14,3.92,0.37,-0.38,escuela

3762,3159,3402,3260,2891,1.88,0.19,0.22,-0.09,0.24,escuela
3753,3161,3399,3268,2879,11.15,-0.76,2.04,-0.11,0.29,escuela
3763,3203,3437,3277,2903,10.77,-3.19,2.70,-0.08,0.65,escuela
3789,3231,3457,3274,2922,9.70,-3.83,1.97,0.29,0.24,escuela
3775,3238,3447,3271,2899,8.28,-3.94,1.58,0.99,0.05,escuela
3791,3223,3442,3269,2896,7.12,-0.57,1.66,1.22,-0.19,escuela
3793,3230,3471,3266,2909,7.48,0.61,1.43,1.72,-0.48,escuela
3792,3199,3440,3264,2918,8.33,3.16,1.31,1.62,-0.52,escuela
3779,3180,3430,3261,2914,9.19,6.27,1.41,1.12,-0.76,escuela
3792,3171,3423,3281,2870,10.14,6.39,0.87,0.35,-0.65,escuela
3793,3173,3429,3285,2905,9.79,6.21,-0.53,-0.19,-0.57,escuela
3795,3215,3430,3285,2835,10.60,5.27,-1.11,-0.76,-0.24,escuela
3805,3238,3420,3294,2921,12.16,3.86,-0.61,-0.79,0.10,escuela
3804,3231,3421,3321,2900,11.34,1.69,1.29,-0.52,0.86,escuela
3817,3267,3443,3357,2909,10.18,0.36,1.53,-0.74,1.14,escuela

2997,3004,2809,2773,2481,1.57,-0.39,0.46,-0.09,0.19,escuela
3071,3005,2805,2800,2498,9.10,-2.62,3.25,0.01,-0.08,escuela
3093,3022,2793,2822,2513,10.16,-2.52,3.33,-0.13,-0.04,escuela
3120,3017,2783,2843,2502,9.51,-5.10,3.50,-0.04,-0.09,escuela
3136,3019,2791,2855,2494,9.05,-4.46,1.79,0.83,-0.23,escuela
3130,3023,2822,2853,2487,8.21,-2.24,1.90,1.24,0.12,escuela
3148,3027,2851,2918,2485,8.00,0.55,1.71,1.38,0.20,escuela
3123,3022,2869,2906,2471,8.69,3.38,2.25,1.20,-0.05,escuela
3118,3029,2849,2837,2449,9.09,4.72,3.68,0.91,-0.19,escuela
3116,3035,2827,2873,2434,9.87,4.05,2.39,0.54,-0.51,escuela
3124,3034,2848,2880,2416,10.10,3.96,2.16,0.01,-0.38,escuela
3139,3035,2873,2853,2417,10.97,2.83,2.12,-0.28,-0.18,escuela
3113,3054,2879,2821,2450,10.99,1.98,2.39,-0.72,0.09,escuela
3161,3061,2882,2857,2469,10.87,1.38,2.55,-1.02,0.23,escuela
3213,3061,2877,2893,2497,10.92,0.94,2.53,-1.10,0.20,escuela

3600,3219,3003,3142,2663,1.77,-0.05,0.58,-0.22,0.10,escuela
3570,3229,3013,3153,2679,10.16,-0.10,2.57,-0.05,-0.03,escuela
3575,3230,2992,3147,2667,10.47,-0.69,3.02,-0.09,0.11,escuela
3573,3231,2999,3162,2658,10.47,-1.04,3.85,-0.11,0.22,escuela
3618,3216,3010,3161,2654,10.18,-2.32,3.72,-0.19,0.08,escuela
3615,3226,2983,3147,2657,9.40,-2.22,3.09,0.43,-0.08,escuela
3601,3214,2987,3147,2650,9.06,-0.99,2.20,0.96,-0.06,escuela
3599,3213,2974,3129,2645,8.61,1.55,1.82,1.02,-0.19,escuela
3583,3195,3023,3120,2658,8.34,0.97,0.40,1.53,-0.19,escuela
3583,3194,2996,3154,2647,7.84,6.09,1.17,0.64,0.11,escuela
3580,3204,2991,3180,2645,8.92,5.52,1.95,0.40,-0.39,escuela
3530,3201,2962,3163,2641,10.14,4.18,0.75,0.21,-0.59,escuela
3506,3189,2955,3139,2635,10.23,3.91,0.44,0.23,-0.44,escuela
3506,3181,2939,3175,2634,10.48,3.79,-0.25,0.15,-0.23,escuela
3486,3186,2928,3175,2640,11.29,3.28,0.27,-0.16,0.37,escuela

3632,3265,3030,3170,2702,1.92,-0.17,0.38,-0.15,0.03,escuela
3647,3267,3011,3159,2701,10.95,-1.39,2.79,-0.19,0.32,escuela
3632,3266,3003,3120,2693,10.58,-0.85,2.48,0.00,0.48,escuela
3639,3264,3002,3113,2688,9.33,-2.35,3.65,0.01,0.34,escuela
3639,3262,2989,3102,2683,9.18,-3.07,2.84,0.70,-0.13,escuela
3638,3250,2994,3098,2676,8.56,-1.92,2.20,1.22,-0.24,escuela
3649,3258,3015,3098,2684,8.66,0.41,0.89,1.27,-0.22,escuela
3637,3248,3007,3091,2689,9.07,2.92,1.04,1.15,-0.11,escuela
3638,3245,2995,3083,2682,8.91,4.45,2.00,0.73,-0.08,escuela
3649,3239,2974,3091,2659,10.13,4.81,1.23,0.42,-0.22,escuela
3650,3222,2958,3089,2662,10.76,4.40,1.20,0.61,-0.43,escuela
3642,3217,2931,3097,2667,9.99,5.09,0.13,0.19,-0.60,escuela
3634,3210,2928,3098,2673,11.90,4.23,0.80,-0.64,0.01,escuela
3648,3216,2928,3126,2669,11.60,2.38,2.14,-1.37,0.73,escuela
3654,3214,2935,3166,2679,10.41,0.50,3.19,-1.55,0.79,escuela

